RowNames,Number,Name,Year,Type,FirstLat,FirstLon,MaxLat,MaxLon,LastLat,LastLon,MaxInt
1,430,NOTNAMED,1944,1,30.2,-76.1,32.1,-74.8,35.1,-69.2,80
2,432,NOTNAMED,1944,0,25.6,-74.9,31,-78.1,32.6,-78.2,80
3,433,NOTNAMED,1944,0,14.2,-65.2,16.6,-72.2,20.6,-88.5,105
4,436,NOTNAMED,1944,0,20.8,-58,26.3,-72.3,42.1,-71.5,120
5,437,NOTNAMED,1944,0,20,-84.2,20.6,-84.9,19.1,-93.9,70
6,438,NOTNAMED,1944,1,29.2,-55.8,38,-53.2,50,-46.5,85
7,440,NOTNAMED,1944,0,16.1,-80.8,21.9,-82.9,28.4,-82.1,105
8,441,NOTNAMED,1945,1,27.6,-85.6,27.6,-85.6,31.7,-79.1,100
9,445,NOTNAMED,1945,0,21.6,-95.2,28.6,-96.1,29.5,-96,120
10,449,NOTNAMED,1945,0,19,-56.6,24.9,-79.6,28.9,-81.8,120
11,450,NOTNAMED,1945,0,16.2,-82.6,16.5,-85.6,16.4,-88.3,85
12,451,NOTNAMED,1945,0,19.6,-80.2,21.6,-79.3,29.9,-68,85
13,453,NOTNAMED,1946,1,36.5,-72.3,36.7,-70.8,39,-63,70
14,455,NOTNAMED,1946,0,26.4,-77.9,28.4,-75,40.7,-66,85
15,456,NOTNAMED,1946,0,19.6,-85.6,25.4,-83.2,27,-82.8,115
16,459,NOTNAMED,1947,0,21,-92.5,22,-96.4,22,-97.2,95
17,460,NOTNAMED,1947,0,26.5,-90.6,26.9,-91.2,29.2,-94.8,70
18,461,NOTNAMED,1947,0,14.1,-24,26.5,-75.4,30.4,-91,140
19,465,NOTNAMED,1947,0,24.1,-82.3,25.8,-80.6,31.8,-82.3,75
20,466,NOTNAMED,1947,0,19.7,-66.6,31.4,-66.9,37.5,-59,105
21,469,NOTNAMED,1948,0,20.9,-61,27.6,-70.4,37,-68.7,105
22,471,NOTNAMED,1948,0,25.8,-92.6,26.6,-91.9,28.8,-90.5,70
23,472,NOTNAMED,1948,0,14.3,-23,28.7,-64.6,46.9,-48.8,115
24,473,NOTNAMED,1948,0,18.5,-80.8,24.3,-81.7,37.1,-66.9,105
25,474,NOTNAMED,1948,0,19.4,-85.1,23.3,-82.5,32.2,-51.3,115
26,475,NOTNAMED,1948,1,25.9,-68.8,26.3,-70.8,30.1,-74.4,70
27,476,NOTNAMED,1949,0,22.3,-64.7,30.9,-76.2,44.2,-49.3,95
28,477,NOTNAMED,1949,0,23.4,-73,26.1,-79,28.3,-82.2,130
29,479,NOTNAMED,1949,0,20.9,-66.6,31.7,-63.5,45.5,-55.1,110
30,483,NOTNAMED,1949,0,23,-94.9,21.9,-95.9,20.3,-95.8,85
31,484,NOTNAMED,1949,0,16.4,-65.3,16.9,-66.6,18.2,-69.9,70
32,485,NOTNAMED,1949,0,22,-94.3,29.1,-95.4,29.1,-95.4,115
33,486,NOTNAMED,1949,0,24.2,-71.9,32.4,-68.3,35.7,-65.5,90
34,489,ABLE,1950,0,21,-62.5,26.1,-73.8,41.8,-67,120
35,490,BAKER,1950,0,16.5,-57.4,16.7,-60,30.8,-87.8,105
36,491,CHARLIE,1950,0,22,-52.8,29.2,-58,38.4,-58.1,100
37,492,DOG,1950,0,15.7,-56.5,26.7,-68.4,40.5,-68.8,160
38,493,EASY,1950,0,21,-82.8,27.4,-83.2,28.2,-82.2,110
39,494,FOX,1950,0,18.9,-50.2,24.6,-59.4,41.9,-42.8,120
40,495,GEORGE,1950,1,30.3,-63.8,33,-68,44.6,-56.7,95
41,497,ITEM,1950,1,21,-93.2,19.9,-95.3,18.8,-95.9,95
42,498,JIG,1950,0,25.4,-55.5,34.2,-58.2,41.9,-44.5,105
43,499,KING,1950,0,18.2,-79.6,21.9,-78.6,28.6,-81.5,105
44,501,LOVE,1950,3,27.5,-90.8,26.1,-92.2,27.1,-85.2,80
45,502,ABLE,1951,3,28.7,-78.6,34.4,-74.7,36.5,-69,100
46,504,CHARLIE,1951,0,15.4,-62.5,20.2,-87.2,22.2,-98,115
47,505,DOG,1951,0,14.1,-58.8,14.2,-62.8,14.9,-73.1,100
48,506,EASY,1951,0,16.6,-42.6,24,-66,39.6,-43.8,140
49,507,FOX,1951,0,15.2,-36.2,21.7,-50.7,49.6,-29.9,100
50,509,HOW,1951,1,29,-78.8,33.9,-75.2,41.2,-55.3,95
51,510,ITEM,1951,1,18.5,-82.1,19.1,-81.8,20.4,-81.2,70
52,511,JIG,1951,3,29.4,-75.3,30.6,-74.8,31.9,-73.6,70
53,513,ABLE,1952,0,21.9,-64.7,31.8,-80.5,33.1,-80.8,90
54,514,BAKER,1952,0,18.2,-59.3,26.8,-68.4,45.6,-51.7,105
55,515,CHARLIE,1952,0,24.5,-73.8,28.2,-74.8,40.5,-51,105
56,516,DOG,1952,0,16.6,-54,17,-54.6,17.5,-55,75
57,517,EASY,1952,0,17.5,-51,18.7,-50.5,18.7,-50.2,95
58,518,FOX,1952,0,16.8,-82.2,21.8,-81,25.3,-74,130
59,520,BARBARA,1953,0,29.2,-75.9,33.6,-76.3,43.1,-64.3,95
60,522,CAROL,1953,0,14.2,-49.5,18.9,-58.7,43.3,-67.3,130
61,523,DOLLY,1953,0,20.7,-69.4,22.8,-70.3,30.4,-67.6,100
62,524,EDNA,1953,0,20.9,-67,24.8,-71.1,39.2,-56.1,110
63,526,FLORENCE,1953,0,20.9,-85,23.4,-87,30.4,-86.1,110
64,527,GAIL,1953,0,14.8,-42.8,14.6,-44.2,14.3,-45.3,70
65,533,ALICE,1954,1,24,-95.7,24.4,-96.5,24.9,-97.2,70
66,535,CAROL,1954,0,28.9,-76.2,29.8,-76.6,43.1,-71.8,85
67,536,DOLLY,1954,0,24.8,-69.5,29,-70.2,44.3,-56.4,85
68,537,EDNA,1954,0,22.2,-70.8,26.6,-75.6,44.9,-67.9,105
69,538,FLORENCE,1954,0,20.8,-95.9,20.8,-95.9,20.5,-96.3,65
70,540,UNNAMED,1954,1,31,-53,35.2,-49.1,47.4,-31.7,85
71,541,HAZEL,1954,0,12.8,-61.1,30.2,-77.8,41,-77.4,120
72,543,ALICE2,1954,3,20.6,-55.2,17.6,-63.2,15.5,-65.2,70
73,545,CONNIE,1955,0,18,-54.9,19.6,-61.9,35.6,-76,125
74,546,DIANE,1955,0,24,-61.1,25.3,-60.8,33.5,-77.5,105
75,547,EDITH,1955,0,21.3,-56.3,27.7,-64.1,40.6,-52.6,85
76,549,FLORA,1955,0,21,-40.2,32.4,-55.4,46.6,-40.1,90
77,550,GLADYS,1955,0,23.6,-96.7,23.6,-96.7,23.4,-97.3,80
78,551,HILDA,1955,0,19.8,-68,21.8,-95,22.2,-97,110
79,552,IONE,1955,0,19.3,-62.3,28.9,-74.7,39.4,-67.8,105
80,553,JANET,1955,0,12.9,-59.2,18,-86.1,20,-96.3,150
81,555,KATIE,1955,0,14.3,-75.3,16.1,-72.9,17.1,-72.2,100
82,557,ANNA,1956,0,21.5,-96.7,21.9,-98.4,21.9,-98.4,70
83,558,BETSY,1956,0,14.1,-53,14.1,-53,39.5,-66.4,105
84,562,FLOSSY,1956,0,26.9,-91,29.5,-88.7,30.4,-86.4,80
85,563,GRETA,1956,1,23.3,-69.6,25.3,-61,31.9,-47.6,120
86,565,AUDREY,1957,0,22,-93.4,29.3,-93.8,29.3,-93.8,125
87,567,CARRIE,1957,0,14.5,-32.6,18,-45.7,44,-19.9,135
88,570,FRIEDA,1957,3,36.4,-65.2,36.4,-65.2,40.2,-59.7,70
89,574,CLEO,1958,0,12,-35.8,19.6,-49.8,46.6,-43.8,140
90,575,DAISY,1958,0,27,-76,31.5,-74.6,42,-65,110
91,576,ELLA,1958,0,16.3,-67.2,20,-76.3,20.6,-77.2,100
92,577,FIFI,1958,0,15.6,-55.7,17.5,-58.3,21.3,-63.4,80
93,579,HELENE,1958,0,26.7,-72,33.1,-78.2,49,-56.6,115
94,580,ILSA,1958,0,18.5,-57.1,21.4,-61.2,37.1,-54.9,115
95,581,JANICE,1958,0,27.2,-75.6,28.7,-74.7,43.3,-46.1,80
96,584,UNNAMED,1959,1,38.4,-65.3,41.2,-62.1,43.7,-60.6,70
97,585,CINDY,1959,3,32.3,-78.2,32.3,-78.2,32.4,-79.3,65
98,586,DEBRA,1959,3,28.3,-95.4,29.2,-95.1,29.6,-95.1,75
99,588,FLORA,1959,1,28.7,-41.3,28.7,-41.3,36.2,-30.7,65
100,589,GRACIE,1959,0,23.3,-73,30.5,-78.7,32.4,-80.4,120
101,590,HANNAH,1959,3,27,-54.9,29.6,-67.1,48.3,-17.6,110
102,592,JUDITH,1959,1,24.7,-84,30.9,-62.9,31.1,-57.3,70
103,594,ABBY,1960,0,13.8,-61,14.8,-66,16.5,-87.8,85
104,596,CLEO,1960,3,27.8,-71.8,37.7,-67.8,40,-66.8,80
105,597,DONNA,1960,0,12.2,-39.4,16.4,-58,43.1,-71.2,140
106,598,ETHEL,1960,3,25.6,-89.7,28.1,-88.9,29.1,-88.9,140
107,600,ANNA,1961,0,12.4,-65.7,13.7,-73.3,16.6,-88.3,100
108,601,BETSY,1961,0,15.9,-46.7,26.9,-52.9,50.8,-26.5,120
109,602,CARLA,1961,0,18.8,-85.1,27.2,-95.7,29.5,-97.2,150
110,603,DEBBIE,1961,0,15.2,-25.4,29.3,-45.9,55.7,-8.5,105
111,604,ESTHER,1961,0,16.8,-40.8,27,-68.6,40.9,-70.7,125
112,606,FRANCES,1961,0,24.3,-71.3,32.9,-66.3,42.2,-66.5,110
113,608,HATTIE,1961,0,12.8,-81.7,18.2,-85.2,17.2,-88.1,140
114,609,JENNY,1961,3,28,-51,28.3,-52.3,28.7,-52.5,70
115,611,ALMA,1962,1,35.2,-75.3,40.1,-70.4,41.5,-68.7,85
116,614,DAISY,1962,1,23.6,-66.3,28,-69.6,44.1,-64.8,95
117,615,ELLA,1962,3,28.1,-75.4,31.3,-73.6,39.5,-59.7,100
118,616,ARLENE,1963,0,13.3,-48.7,14.3,-49.9,44.8,-50.1,90
119,617,BEULAH,1963,0,17.9,-56.9,23.1,-59.6,49.4,-44.9,105
120,619,CINDY,1963,1,28,-93.9,28,-93.9,30,-94.6,70
121,620,DEBRA,1963,0,23,-48.9,23,-48.9,26.6,-48.2,65
122,621,EDITH,1963,0,13.2,-58.2,13.7,-59.6,19.5,-69.9,85
123,622,FLORA,1963,0,10.3,-56,15.9,-71.4,51.5,-41,125
124,623,GINNY,1963,3,33.5,-75,36.3,-70.3,49,-63,95
125,629,CLEO,1964,0,14.1,-51.3,16.7,-68,51.3,-48.8,135
126,630,DORA,1964,0,17.8,-56.5,26.1,-64.4,30.1,-83.5,115
127,631,ETHEL,1964,0,24.4,-54.3,27.7,-63.2,45.9,-30.7,100
128,633,GLADYS,1964,0,18.8,-52.1,25,-65.1,42.8,-64.2,125
129,634,HILDA,1964,0,23.4,-88.1,24.8,-91.1,29.6,-91.6,130
130,635,ISBELL,1964,1,21.7,-84.5,24,-82.9,33.4,-76.2,110
131,638,ANNA,1965,1,37.5,-51.6,41.1,-48.8,54.1,-12.6,80
132,639,BETSY,1965,1,21.2,-64.7,28.3,-89.2,30.8,-91.8,135
133,640,CAROL,1965,0,19.7,-40.6,38.7,-35.4,40.7,-19.7,85
134,642,ELENA,1965,1,27.3,-59.7,33,-56.3,43.5,-32.5,70
135,643,ALMA,1966,3,18.5,-84.1,24.2,-82.4,34.3,-73.5,110
